City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
654,Uthal,PK,25.8072,66.6219,78.24,62,9,5.32,clear sky
655,Kyshtovka,RU,56.555,76.6271,7.43,96,85,8.08,overcast clouds
656,Kostino,RU,58.9097,53.2691,3.88,99,99,1.79,overcast clouds
657,Kidal,ML,18.4411,1.4078,87.78,10,82,5.39,broken clouds
658,Bitung,ID,1.4451,125.1824,76.05,82,89,4.79,light rain
659,Bozova,TR,37.3625,38.5267,36.52,57,0,4.74,clear sky
660,Waingapu,ID,-9.6567,120.2641,78.3,83,92,3.98,overcast clouds
661,Pemangkat,ID,1.1667,108.9667,79.68,82,99,5.37,overcast clouds
662,Banepa,NP,27.6298,85.5214,62.92,88,20,3.44,few clouds
663,Redmond,US,47.674,-122.1215,52.09,78,92,5.99,overcast clouds
664,Beaverlodge,CA,55.2166,-119.4361,40.44,57,9,17.78,clear sky
665,Hualmay,PE,-11.0964,-77.6139,78.22,65,50,11.63,scattered clouds
666,Sahuaripa,MX,29.05,-109.2333,88.3,7,0,6.67,clear sky
667,Millau,FR,44.0833,2.9167,51.93,92,100,4.12,overcast clouds
668,Beyneu,KZ,45.3167,55.2,32.04,90,99,11.25,overcast clouds
669,Westport,US,41.1415,-73.3579,66.43,62,0,8.05,clear sky
670,Manicore,BR,-5.8092,-61.3003,81.23,90,97,3.02,moderate rain
