City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Bandarbeyla,SO,77.41,clear sky,9.4942,50.8122,JABIR HOTEL
190,Banes,CU,84.51,clear sky,20.9625,-75.7186,Hostal Iván y yailet
192,Lompoc,US,75.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
195,Dom Pedrito,BR,83.57,overcast clouds,-30.9828,-54.6731,Hotel Alexandre
199,Sabang,ID,79.27,light rain,5.8933,95.3214,Hotel Citra
200,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
202,Saint-Joseph,RE,79.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
211,San Vicente,AR,87.4,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
213,Rawson,AR,81.09,clear sky,-43.3002,-65.1023,Hosteria Sampedro
214,Moerai,PF,80.44,clear sky,-22.4333,-151.3333,Le Manotel
216,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
219,Gombe,NG,84.43,broken clouds,10.2897,11.1673,Custodian Hotel Gombe
220,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
221,Denpasar,ID,80.26,light rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
223,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
227,Hoi An,VN,75.16,few clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
231,Dingle,PH,77.38,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
237,Indramayu,ID,80.31,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
250,Poum,NC,78.21,moderate rain,-20.2333,164.0167,
253,Pimentel,PE,88.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
261,Bengkulu,ID,77.29,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
265,Lorengau,PG,82.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
267,Necochea,AR,87.85,clear sky,-38.5473,-58.7368,dyd -mar Hotel
269,Jutai,BR,80.2,moderate rain,-5.1833,-68.9,
280,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
282,Anloga,GH,82.9,overcast clouds,5.7947,0.8973,Pin Drop Hotel
